Run for: 8 when:Vega look:Cani min:1 max:2 years:150
Len ,JDay   ,LastMonth ,GibbousMoonsetLMST  ,What,WhenBigNightGREGOR  ,Declin,RtAscen ,OverL ,L   ,stats
    ,2232734,1400-11-22,1400-12-24T00:26:57 ,Vega,1400-12-30T23:04:40 ,16.825,108.662 ,8.8155,+ 2 ,146.49
354 ,2233109,1401-12-02,1401-12-13T00:14:23 ,Vega,1401-12-19T23:48:54 ,17.955,95.0185 ,1.4475,+x  ,135.25
384 ,2233492,1402-12-20,1403-01-01T00:50:46 ,Vega,1403-01-07T22:35:11 ,17.152,117.235 ,14.481,+ 1 ,154.01
355 ,2233847,1403-12-10,1403-12-22T01:13:53 ,Vega,1403-12-28T23:15:29 ,18.404,118.776 ,16.395,+ 2 ,143.77
354 ,2234202,1404-11-29,1404-12-09T23:55:33 ,Vega,1404-12-16T23:59:44 ,20.791,105.714 ,10.009,+x  ,132.52
385 ,2234585,1405-12-17,1405-12-30T01:35:12 ,Vega,1406-01-05T22:42:05 ,18.103,140.776 ,30.381,+ 1 ,152.28
354 ,2234941,1406-12-08,1406-12-19T00:17:00 ,Vega,1406-12-25T23:26:19 ,22.781,122.951 ,22.260,+ 2 ,141.04
355 ,2235295,1407-11-27,1407-12-09T00:46:06 ,Vega,1407-12-16T00:06:37 ,24.663,117.705 ,20.293,+x  ,130.80
383 ,2235679,1408-12-15,1408-12-26T00:32:06 ,Vega,1409-01-01T22:56:50 ,25.104,120.145 ,22.146,+ 1 ,148.56
354 ,2236033,1409-12-04,1409-12-15T00:26:29 ,Vega,1409-12-21T23:41:04 ,27.563,101.726 ,12.803,+ 2 ,137.31
354 ,2236387,1410-11-23,1410-12-04T00:14:53 ,Vega,1410-12-11T00:25:18 ,28.087,87.7756 ,5.6220,+x  ,126.07
384 ,2236770,1411-12-11,1411-12-23T01:10:32 ,Vega,1411-12-29T23:11:35 ,25.869,111.582 ,17.381,+ 1 ,144.83
355 ,2237125,1412-11-30,1412-12-12T01:30:06 ,Vega,1412-12-18T23:51:53 ,24.473,112.590 ,16.973,+ 2 ,134.59
354 ,2237480,1413-11-20,1413-12-01T00:03:55 ,Vega,1413-12-08T00:36:07 ,25.442,97.9747 ,9.0294,+x  ,123.35
385 ,2237863,1414-12-08,1414-12-21T01:51:31 ,Vega,1414-12-27T23:18:28 ,15.426,131.775 ,22.594,+ 1 ,143.10
354 ,2238219,1415-11-29,1415-12-10T00:36:53 ,Vega,1415-12-17T00:02:42 ,19.290,113.019 ,13.398,+ 2 ,131.86
354 ,2238573,1416-11-17,1416-11-28T00:01:41 ,Vega,1416-12-05T00:46:57 ,21.196,91.1770 ,1.8562,+x  ,120.62
384 ,2238956,1417-12-05,1417-12-17T00:47:08 ,Vega,1417-12-23T23:33:13 ,17.414,109.686 ,9.9015,+ 1 ,139.38
354 ,2239311,1418-11-25,1418-12-06T00:37:16 ,Vega,1418-12-13T00:17:28 ,18.559,93.2569 ,0.9133,+ 2 ,128.13
354 ,2239665,1419-11-14,1419-11-25T00:15:52 ,Vega,1419-12-02T01:01:42 ,18.097,80.9112 ,-6.183,-T  ,116.89
384 ,2240048,1420-12-01,1420-12-13T00:43:54 ,Vega,1420-12-19T23:47:59 ,17.777,103.309 ,6.2413,+ 1 ,135.65
355 ,2240403,1421-11-21,1421-12-03T00:49:40 ,Vega,1421-12-10T00:28:17 ,18.573,104.373 ,7.4998,+ 2 ,125.41
354 ,2240758,1422-11-11,1422-11-21T23:21:33 ,Vega,1422-11-29T01:12:32 ,19.510,89.4777 ,-0.445,-T  ,114.17
385 ,2241141,1423-11-29,1423-12-12T00:57:56 ,Vega,1423-12-18T23:54:53 ,20.052,124.701 ,21.407,+ 1 ,133.92
354 ,2241497,1424-11-19,1424-11-29T23:54:28 ,Vega,1424-12-07T00:39:07 ,23.148,104.305 ,10.952,+ 2 ,122.68
