sId,Const,name,name2,elatJ2000,elongJ2000,decJ2000,raJ2000,vmag
"HR 1656","Tau","m Tau","HIP 23835",-4.227577363002758,77.53867299569752,18.645637976466343,76.87279394333267,4.900000095367432
"HR 1554","Tau","HIP 22697","HIP 22697",5.321147746730124,75.13733004957554,27.89789880027196,73.20295294426376,5.950000286102295
"HR 1457","Tau","Aldebaran","HIP 21421",-5.469026027115352,69.79493535139815,16.508429978676293,68.98632340213848,0.8500001430511475
"HR 2905","Gem","υ Gem","HIP 36962",5.214980108248037,111.3497335312349,26.893842999662237,113.9863820745039,4.050000190734863
"HR 1239","Tau","λ Tau","HIP 18724",-7.960250993318674,60.6395705866491,12.49090067201337,60.17519037697361,3.4000000953674316
"HR 2697","Gem","τ Gem","HIP 34693",7.753792736807724,105.4497733932011,30.243838089606328,107.79100553921133,4.400000095367432
"HR 1256","Tau","A1 Tau","HIP 19038",1.2591980084744732,63.461128137796884,22.08241414989807,61.180044518980125,4.349999904632568
"HR 2540","Gem","θ Gem","HIP 33018",11.029608609783486,101.12930196413308,33.960156998377485,103.20412524412522,3.5999999046325684
"HR 1151","Tau","Asterope","HIP 17579",4.567966892366791,59.74484169848679,24.555481058321288,56.48248161731168,5.75
"HR 1149","Tau","Maia","HIP 17573",4.3898665333331,59.68549106095384,24.368719693381667,56.4621960001941,3.8499999046325684
"HR 1203","Per","Atik","HIP 18246",11.333935403833797,63.12917675498949,31.885154470121915,58.5389145741642,2.8000001907348633
"HR 1165","Tau","Alcyone","HIP 17702",4.050899728802227,59.99748894338935,24.10618542052853,56.876600512660346,2.8499999046325684
"HR 1142","Tau","Electra","HIP 17499",4.189786908436317,59.41698059305201,24.114396272816172,56.224319838979184,3.700000286102295
"HR 1156","Tau","Merope","HIP 17608",3.955643081478537,59.70436670434956,23.949275081113175,56.587017801942295,4.099999904632568
"HR 2777","Gem","Wasat","HIP 35550",-0.17844208616835153,108.52469023751578,21.981527948485503,110.03649036886827,3.5
"HR 2763","Gem","λ Gem","HIP 35350",-5.635336294608578,108.7840055494639,16.539560008014064,109.52854314497026,3.5500001907348633
"HR 838","Ari","Bharani","HIP 13209",10.44940709371407,48.20824285742794,27.261607565464494,42.50104370547073,3.5999999046325684
"HR 840","Per","16 Per","HIP 13254",20.943272119388926,51.84192759506588,38.320522230283856,42.65308606694908,4.200000286102295
"HR 2615","Gem","41 Gem","HIP 33715",-6.601759567078642,104.56771830067684,16.078571802731354,105.07171491268731,5.700000286102295
"HR 617","Ari","Hamal","HIP 9884",9.964961307732008,37.66700911686279,23.463802093537932,31.797982866878574,2
"HR 2484","Gem","Alzirr","HIP 32362",-10.10551599682924,101.21422928596151,12.893891867140391,101.32730563393596,3.3499999046325684
"HR 489","Psc","ν Psc","HIP 7884",-4.6944443374046445,25.508979899766835,5.488188234993464,25.360276800439376,4.450000286102295
"HR 2421","Gem","Alhena","HIP 31681",-6.742850990201257,99.11047785120154,16.398569939354996,99.43398765121275,1.9000000953674316
