DOT,x,y,star name,desig,view,const,name2,id1,elat,elong,dec,RA,Mag,
44,0,0,Dabih,HIP 100345,z,Cap,Dabih,HIP 100345,4.588801104,304.0429685,-14.7822531,-54.75167582,3.05,
67,0,0,Deneb Algedi,HIP 107556,z,Cap,Deneb Algedi,HIP 107556,-2.60371939,323.5401637,-16.1300069,-33.24145134,2.84,6 Capricon
66,0,0,Sadalmelik,HIP 109074,z,Aqr,Sadalmelik,HIP 109074,10.66238731,333.3500316,-0.31993785,-28.55654312,2.95,5 Aquarius
44,0,0,Ancha,HIP 110003,z,Aqr,Ancha,HIP 110003,2.706448705,333.2617571,-7.7842835,-25.79298864,4.15,
50,0,0,Polaris,HIP 11767,z,UMi,Polaris,HIP 11767,66.10151875,88.58259182,89.26883221,38.253136404,1.95,Calendar
18,123.5546,81.93696,Bahrani,HR 838,p,Ari,Bharani,HIP 13209,10.44940709,48.20824285,27.26160756,42.501043704,3.59,19 HR 838   6193    41  Ari Ari
19,141.7191,78.15144,,HR 840,p,Per,16 Per,HIP 13254,20.94327211,51.84192759,38.32052223,42.653086066,4.2,
12,128.7177,58.49874,Pleiades: Electra,HR 1142,P,Tau,Electra,HIP 17499,4.189786908,59.41698059,24.11439627,56.224319838,3.7,
10,112.4277,54.75468,Pleiades: Taygeta,HR 1145,P,Tau,Taygeta,HIP 17531,0,0,0,0,0,
9,121.0292,48.75188,Pleiades: Maia,HR 1149,P,Tau,Maia,HIP 17573,4.389866533,59.68549106,24.36871969,56.462195999,3.84,
13,120.2459,61.54713,Pleiades: Merope,HR 1156,P,Tau,Merope,HIP 17608,3.955643081,59.7043667,23.94927508,56.587017801,4.09,
11,112.4277,54.75468,Pleiades: Alcyone,HR 1165,P,Tau,Alcyone,HIP 17702,4.050899728,59.99748894,24.10618542,56.876600512,2.84,
8,112.4277,54.75468,Pleiades: Atlas,HR 1178,P,Tau,Atlas,HIP 17847,0,0,0,0,,
6,83.44666,46.62984,,HR 1239,p,Tau,λ Tau,HIP 18724,-7.96025099,60.63957058,12.49090067,60.175190376,3.4,
7,112.1699,46.02002,,HR 1256,p,Tau,A1 Tau,HIP 19038,1.259198008,63.46112813,22.08241414,61.180044518,4.34,
4,96.88832,31.32991,Aldebaran,HR 1457,p,Tau,Aldebaran,HIP 21421,-5.46902602,69.79493535,16.50842997,68.986323401,0.85,"3  HR 1457   21421   α Tau   Tau     Applied in medieval times from its ind-A name al-dabaran, possibly meaning ""the Follower,"" alternatively used as the lunar mansion name for all the Hyades (or again for α Tau alone). The name is thought to refer to this star's following the Pleiades across the sky, or to the Hyades (or α Tau) coming after the Pleiades as a lunar mansion. ""Aldebaran"" is one of the oldest Arabic star names applied in the West, from the end of the 10th century A.D.       Arabic  Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub."
2,126.3757,25.09133,,HR 1554,p,Tau,HIP 22697,HIP 22697,5.321147746,75.13733004,27.8978988,73.202952944,5.95,
1,108.1498,18.1577,,HR 1656,p,Tau,m Tau,HIP 23835,-4.22757736,77.53867299,18.64563797,76.872793943,4.9,0  m Tau
57,0,0,Capella,HIP 24608,z,Aur,Capella,HIP 24608,22.86115616,81.86497229,45.99540741,79.182016772,0.04,Calendar
27,-999,-999,Elnath,HR 1791,g,Tau,Elnath,HIP 25428,5.383700043,82.58064369,28.6063679,81.579526761,1.65,31 HR 1791  25428   β Tau   Tau
31,123.8151,145.3032,Tianguan,HR 1910,g,Tau,Tianguan,HIP 26451,-2.19574353,84.79039795,21.14263598,84.417365391,2.95,"38 HR 1910  26451   ζ Tau   Tau     Chinese single star asterism, a celestial pass along the ecliptic which opens and closes        Chinese Rufus+Tien (1945) on the Suzhou Map, Sun and Kistemaker (1997) evaluating Han sources, Sun Shuwei (2022) on the Su Song Map"
30,-999,-999,,HR 1990,g,Tau,130 Tau,HIP 27338,-5.67742169,86.99949122,17.72921298,86.865201882,5.45,
29,-999,-999,,HR 2159,g,Ori,ν Ori,HIP 29038,-8.65875821,91.85748091,14.76827729,91.899060953,4.4,
24,-999,-999,Propus,HR 2216,g,Gem,Propus,HIP 29655,-0.8879888,93.44149225,22.50679947,93.725164695,6,"27 HR 437   7097    η Psc   Psc              HR 2216        29655   η Gem   Gem     Applied in Renaissance times from the Greek word πρόπους, ""forward foot used by Ptolemy in the Almagest in describing this star.      Greek   Kunitzsch"
28,-999,-999,,HR 2287,g,Ori,HIP 30318,HIP 30318,-10.7591056,95.62021449,12.56987478,95.657125881,6,
23,-999,-999,Alhena,HR 2421,g,Gem,Alhena,HIP 31681,-6.74285099,99.11047785,16.39856993,99.433987651,1.9,"25  HR 2421 31681   γ Gem   Gem     Applied in recent times from the ind-A lunar mansion name al-bana, possibly meaning ""the Mark on the Neck of a Camel,"" for γ and ξ Gem, or alternatively for γ, ξ, η, μ, and v Gem.     Arabic  Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub."
22,47.5255,118.5022,Alzirr,HR 2484,g,Gem,Alzirr,HIP 32362,-10.1055159,101.2142292,12.89389186,101.32730563,3.34,23 HR 2484  32362   ξ Gem   Gem
7,-999,-999,,HR 2540,g,Gem,θ Gem,HIP 33018,11.0296086,101.1293019,33.96015699,103.20412524,3.59,
20,50.30947,98.89025,,HR 2615,g,Gem,41 Gem,HIP 33715,-6.60175956,104.5677183,16.0785718,105.07171491,5.7,
6,-999,-999,,HR 2697,g,Gem,τ Gem,HIP 34693,7.753792736,105.4497733,30.24383889,107.79100553,4.4,
